Package	Version
beniget	0.4.1
decorator	4.4.2
gast	0.5.2
joblib	1.3.2
numpy	1.21.5
packaging	23.1
pandas	1.3.5
pip	22.0.2
ply	3.11
python-dateutil	2.8.1
pythran	0.10.0
pytz	2022.1
PyYAML	6.0.1
scikit-learn	1.3.0
scipy	1.8.0
setuptools	59.6.0
six	1.16.0
threadpoolctl	3.2.0
wheel	0.37.1
